,Alimento,Energía        (Kcal),Proteínas      (g),Carbohidratos totales                (g),Grasa Total     (g)
7,"Huevo de codorniz, entero, crudo",174,13.6,0.1,13.3
8,"Huevo de gallina, clara, cocido",54,12.8,0.0,0.3
9,"Huevo de gallina, clara, cruda",48,11.6,0.0,0.2
10,"Huevo de gallina, entero, crudo",156,12,0.4,11.8
11,"Huevo de gallina, frito",196,16.3,0.0,14.5
12,"Huevo de gallina, poché",152,13.4,0.0,10.9
13,"Huevo de gallina, yema, cruda",325,16.6,0.0,28.7
